post_id,user,post_text,likes,shares,timestamp,hour,weekday
1,user_1,This is a sample POST!!! #fun,20.0,1.0,2025-01-01 00:00:00,0,2
2,user_2,<html>Great Day!</html>,20.0,3.0,2025-01-01 06:00:00,6,2
3,user_3,This is a sample POST!!! #fun,20.0,1.0,2025-01-01 12:00:00,12,2
4,user_4,<html>Great Day!</html>,100.0,0,2025-01-01 18:00:00,18,2
5,user_5,This is a sample POST!!! #fun,20.0,5.0,2025-01-02 00:00:00,0,3
6,user_6,<html>Great Day!</html>,5.0,1.0,2025-01-02 06:00:00,6,3
7,user_7,This is a sample POST!!! #fun,20.0,5.0,2025-01-02 12:00:00,12,3
8,user_8,<html>Great Day!</html>,10.0,5.0,2025-01-02 18:00:00,18,3
9,user_9,This is a sample POST!!! #fun,5.0,5.0,2025-01-03 00:00:00,0,4
10,user_10,<html>Great Day!</html>,5.0,5.0,2025-01-03 06:00:00,6,4
11,user_11,This is a sample POST!!! #fun,0,1.0,2025-01-03 12:00:00,12,4
12,user_12,<html>Great Day!</html>,10.0,3.0,2025-01-03 18:00:00,18,4
13,user_13,This is a sample POST!!! #fun,5.0,5.0,2025-01-04 00:00:00,0,5
14,user_14,<html>Great Day!</html>,5.0,1.0,2025-01-04 06:00:00,6,5
15,user_15,This is a sample POST!!! #fun,0,5.0,2025-01-04 12:00:00,12,5
16,user_16,<html>Great Day!</html>,0,1.0,2025-01-04 18:00:00,18,5
17,user_17,This is a sample POST!!! #fun,0,3.0,2025-01-05 00:00:00,0,6
18,user_18,<html>Great Day!</html>,20.0,3.0,2025-01-05 06:00:00,6,6
19,user_19,This is a sample POST!!! #fun,10.0,0,2025-01-05 12:00:00,12,6
20,user_20,<html>Great Day!</html>,0,0,2025-01-05 18:00:00,18,6
